id;title;price;url;type;city;surface;description;date_creation;date_suppression
1322689063;Cave rénovée avec porte blindée;85;//www.leboncoin.fr/locations/1322689063.htm?ca=12_s;;Paris 17ème;5.0;Cave / local entièrement rénovée de 5m2. Située dans le 17ème arrondissement, à proximité de l'avenue de Clichy, non loin des stations de métro La Fourche, Brochant et Rome.<br>La cave est saine et a son propre éclairage. Le sol est propre avec sa chape de béton. Les murs ont été entièrement refaits. Grande hauteur sous plafond : 2,60m, soit une capacité de stockage d'environ 13m3. Des extracteurs d'air sont présents dans le sous-sol de la copropriété, contribuant à un renouvellement permanent de l'air.<br>A destination uniquement de stockage.<br>Stockage très sécurisé : 2 digicodes au niveau des portes d'accès à l'immeuble puis la porte d'accès au sous-sol et enfin la porte blindée de la cave.;2017-10-20;2017-10-24
1322661738;Cave pour stockage rue Cherche Midi;70;//www.leboncoin.fr/locations/1322661738.htm?ca=12_s;;Paris 6ème;4.0;Cave voutée de 4m2 avec porte métallique, dans un bel immeuble gardienné.<br>Quadruple sécurité:<br>Code porte immeuble / Gardienne / clef pour accès aux cave / clef de la cave<br>Idéal pour stockage longue durée. <br>Bail minimal 1 an, Paiement semestriel.;2017-10-20;2017-10-24
1321608388;Cave voûtée 10m2 - garde meuble;140;//www.leboncoin.fr/locations/1321608388.htm?ca=12_s;;Paris 10ème;10.0;REPUBLIQUE   :   grande   cave   voûtée   de   10,00   M²,   à   50m   du   métro,   à   louer   pour   stockage,   garde   meuble,   archives   et   vins.   Cette   cave,   au   niveau   -1   d'un   immeuble   haussmannien   de   2,80   M   de   hauteur   sous   plafond,   est   sèche   (   sol   dallé   ),   aérée,   éclairée,   sécurisée   et   équipée   d’une   prise   de   courant.   Clé   +   Badge   accès   immeuble .<br>Location courte ou longue durée;2017-10-20;2017-10-24
1322570541;Rue Faidherbe Paris 11 cave de 3m²;55;//www.leboncoin.fr/locations/1322570541.htm?ca=12_s;;Paris 11ème;3.0;Rue Faidherbe paris 11 cave de environs 3m² avec grande hauteur sous plafond.<br>lumière, accès sécurisé.<br>Loyer 55 euros par mois;2017-10-20;2017-10-24
1322381782;Cave 2,8m² (6m3) stockage Bd St Michel/Valde Grâce;40;//www.leboncoin.fr/locations/1322381782.htm?ca=12_s;;Paris 5ème;3.0;"Bonjour,<br>Louez une cave saine, légèrement voûtée, comme espace de stockage, de 2;8m² (6m3) à Paris 5ème, angle Bd St Michel et rue du Val de Grâce, dans un immeuble haussmannien pour y stocker :<br>Des affaires personnelles (documents, meubles, vêtements, ...), <br>De l'archivage,<br>De l'outillage pour une entreprise.<br>Accès immeuble par digicode pour la porte d'entrée principale et une clé pour accéder aux caves.<br>Localisation : 1er sous-sol.<br>RER : Port Royal et Luxembourg. Bus 38 à proximité.<br>Sol en terre battue.<br>Palettes laissées à disposition pour y déposer vos affaires hors sol.<br>Murs latéraux en parpaings.<br>Portes en bois munie d'un verrou avec serrure, s'ouvrant vers le couloir pour optimiser la place à l'intérieur.<br>L=2,45m<br>L= 1,22m<br>H= 2,30m.<br>Disponible de suite.<br>Contrat annuel de location avec tacite reconduction.<br>Prix mensuel CC : 40,00 € (Loyer 35,00 € + 5,00 € de charges).<br>Caution deux mois : 70,00 €<br>Renseignement et visite : 06 52 12 38 22<br>Je ne réponds pas aux MAILS ou aux SMS ou aux numéros masqués, mais je vous rappelle si vous me laissez votre numéro de mobile en cas d'absence.<br>Merci";2017-10-20;2017-10-23
1322297536;Cave saine 4m2 Paris 18e;55;//www.leboncoin.fr/locations/1322297536.htm?ca=12_s;;Paris 18ème;4.0;A louer: cave 2 m x 2m en 1er sous sol d'un immeuble ancien sécurisé (digicode et clé/interphone).<br>Cave au 1er sous-sol (ventilé, un peu de lumière naturelle de la cour), propre, fermée, éclairée. <br>Rue de Clignancourt, secteur Ramey / Custine, proche Mo Chateau Rouge ou Anvers.<br>Disponible au 1er novembre voire un peu avant.;2017-10-19;2017-10-24
1322105221;Cave entrepot;45;//www.leboncoin.fr/locations/1322105221.htm?ca=12_s;;Paris 11ème;15.0;PARIS 11e metro rue saint maur ou père lachaise<br>Dans immeuble sécurisé cave , entrepot fermé sous surveillance video;2017-10-19;2017-10-24
1322061162;Cave / Espace de stockage;210;//www.leboncoin.fr/locations/1322061162.htm?ca=12_s;;Paris 6ème;12.0;Cave de 12m2 située au métro Vaneau (ligne 10) - Rue de Sèvres - dans un immeuble très sécurisé avec accès simple et permanent<br>Cave saine, pas d'humidité <br>Disponible de suite <br>Premier contact par mail;2017-10-19;2017-10-24
1322025151;Loue Cave Fermée et seche Metro Commerce;200;//www.leboncoin.fr/locations/1322025151.htm?ca=12_s;;Paris 15ème;12.0;Loue Belle cave fermée et seche. <br>Immeuble occupé par propriétaires occupants, avec double digicode.<br>Adresse: 30 rue Gramme, 75015 Paris <br>Premier Contact par email.;2017-10-19;2017-10-24
1321944399;Cave boulevard periere;50;//www.leboncoin.fr/locations/1321944399.htm?ca=12_s;;Paris 17ème;14.0;PLUSIEURS CAVES PROPRES ET SAINES BOULEVARD PEREIRE ET GOUVION SAINT CYR<br>14M2.6M2.12M2<br>PRIX NEGOCIABLES;2017-10-19;2017-10-24
